S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
494,2018-07-10,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,194.00,2.85,265.00,0.37,0.71,2.31,0.00,0.24,0.00,1.74,616.00,1.00,56.40,1.09,24.50,0.00,151.00,3.00,7.32,2.81,0.00,481.30,4.54,0.01
495,2018-07-10,Chemistry,Site4,fertilized,Lake Water,10.99,132.00,8.29,440.00,0.16,0.44,0.55,0.00,0.22,0.05,0.68,721.00,79.00,260.30,0.86,15.83,0.00,78.00,91.00,6.52,1.56,2.00,1311.30,1.27,0.00
496,2018-07-11,Chemistry,Site1,none (reference/control),Lake Water,1.94,192.00,1.06,249.00,0.40,0.71,2.31,0.00,0.26,0.00,1.75,612.00,1.00,55.80,1.09,27.37,7.00,159.00,4.50,7.20,2.84,0.00,461.05,4.54,0.01
497,2018-07-16,Chemistry,Site3,none (reference/control),Lake Water,1.12,165.00,1.53,257.50,0.34,0.70,0.52,0.00,0.21,0.00,1.15,527.00,0.00,37.40,0.65,27.37,6.00,133.50,3.00,7.17,1.99,0.00,449.15,4.54,0.01
498,2018-07-17,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,209.50,2.04,256.50,0.39,0.69,1.16,0.00,0.25,0.00,1.76,605.00,0.00,46.15,1.09,0.81,8.50,169.00,3.50,7.28,2.86,0.00,494.10,4.54,0.01
499,2018-07-30,Chemistry,Site2,none (reference/control),Lake Water,0.80,179.80,1.54,216.00,0.38,0.57,0.46,0.00,0.18,0.00,1.47,335.50,0.00,104.65,0.73,27.37,19.00,190.50,4.00,7.39,2.99,0.00,952.90,4.54,0.01
500,2018-07-31,Chemistry,Site4,fertilized,Lake Water,21.90,137.00,6.31,404.50,0.16,0.45,0.38,0.00,0.19,0.04,0.62,690.00,0.00,321.75,0.91,15.83,18.50,27.00,16.50,8.83,1.45,0.00,2567.50,0.75,0.00
501,2018-08-01,Chemistry,Site1,none (reference/control),Lake Water,1.82,196.00,1.11,275.00,0.41,0.77,2.30,0.00,0.23,0.00,1.90,587.00,0.00,64.30,1.15,27.37,25.00,160.00,4.00,7.21,2.81,1.00,504.00,4.54,0.01
502,2018-08-07,Chemistry,Site3,none (reference/control),Lake Water,1.04,173.00,2.69,238.00,0.34,0.75,0.51,0.00,0.17,0.00,1.17,512.00,0.00,41.90,0.69,27.37,28.00,129.00,3.00,7.08,1.95,1.00,403.20,4.54,0.01
503,2018-08-13,Chemistry,Site2,none (reference/control),Lake Water,0.57,195.00,2.68,227.00,0.40,0.64,0.43,0.00,0.17,0.00,1.45,337.00,0.00,29.10,0.75,27.37,33.00,193.00,5.00,7.32,2.93,2.00,483.90,4.25,0.01
504,2018-08-14,Chemistry,Site4,fertilized,Lake Water,40.18,98.00,7.71,379.00,0.12,0.44,0.37,0.00,0.16,0.04,0.59,640.00,1.00,482.40,0.91,15.83,36.00,31.00,25.00,8.80,1.47,2.00,3936.30,1.27,0.00
505,2018-08-15,Chemistry,Site1,none (reference/control),Lake Water,1.68,174.00,2.49,267.00,0.41,0.77,0.09,0.00,0.24,0.00,1.85,589.00,1.00,54.50,1.14,27.37,36.00,162.00,3.00,7.28,2.85,2.00,497.00,4.54,0.01
506,2018-08-20,Chemistry,Site3,none (reference/control),Lake Water,1.06,132.00,2.49,258.00,0.37,0.76,0.50,0.00,0.22,0.00,1.22,514.00,2.00,42.70,0.73,27.37,34.00,127.00,3.00,7.16,1.96,0.00,436.10,4.54,0.01
507,2018-08-27,Chemistry,Site2,none (reference/control),Lake Water,0.97,181.00,1.55,205.00,0.40,0.63,0.41,0.00,0.20,0.00,1.46,341.00,0.00,56.40,0.77,27.37,12.50,188.50,3.50,7.35,2.91,5.00,542.50,4.54,0.01
508,2018-08-28,Chemistry,Site4,fertilized,Lake Water,29.89,94.50,8.60,350.00,0.12,0.44,0.39,0.00,0.17,0.04,0.60,645.50,6.00,280.60,0.89,15.83,0.00,52.00,28.50,7.51,1.47,5.00,2561.45,1.27,0.00
509,2018-08-29,Chemistry,Site1,none (reference/control),Lake Water,2.49,171.20,1.83,233.00,0.41,0.77,3.19,0.00,0.23,0.00,1.84,601.00,11.00,58.90,1.14,27.37,0.00,167.00,3.00,7.20,2.84,0.00,492.90,4.00,0.01
510,2018-09-04,Chemistry,Site3,none (reference/control),Lake Water,1.32,138.00,1.30,251.00,0.34,0.76,0.49,0.00,0.16,0.00,1.21,519.00,6.00,47.30,0.69,27.37,12.00,141.00,2.00,7.21,1.98,0.00,458.20,4.54,0.01
511,2018-09-10,Chemistry,Site2,none (reference/control),Lake Water,1.35,184.00,2.20,195.00,0.39,0.63,0.37,0.00,0.20,0.00,1.49,338.00,5.00,44.80,0.78,27.37,8.00,204.00,4.00,7.35,2.89,0.00,498.90,4.54,0.01
512,2018-09-11,Chemistry,Site4,fertilized,Lake Water,58.61,90.00,11.00,370.00,0.11,0.42,0.39,0.00,0.20,0.05,0.65,634.00,6.00,539.40,0.94,15.83,21.00,36.00,38.00,8.63,1.41,0.00,4848.00,0.50,0.00
513,2018-09-12,Chemistry,Site1,none (reference/control),Lake Water,2.81,171.50,3.00,235.50,0.41,0.77,2.21,0.00,0.23,0.00,1.85,570.00,1.50,47.15,1.15,27.37,20.50,183.50,3.50,7.07,2.84,0.00,428.50,4.54,0.01
514,2018-09-17,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,95.00,16.42,811.00,0.25,1.35,5.83,0.02,0.40,0.53,8.38,2168.00,10.00,31.00,1.79,43.10,33.00,291.00,6.00,5.53,5.06,8.00,300.70,4.54,0.01
515,2018-09-17,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,14.30,468.00,0.49,1.18,4.09,0.03,0.26,0.74,3.61,4830.00,0.00,75.30,1.11,60.00,56.00,445.00,8.00,4.02,3.27,1.00,644.50,4.54,0.01
516,2018-09-17,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,10.00,12.37,808.00,0.36,0.88,4.51,0.02,0.49,0.45,3.58,2590.00,1.00,63.30,1.04,35.60,42.00,470.00,8.00,4.62,2.96,1.00,517.00,4.54,0.01
517,2018-09-17,Chemistry,Site3,none (reference/control),Lake Water,4.59,113.00,2.51,261.00,0.35,0.76,0.52,0.00,0.16,0.00,1.18,593.00,2.00,54.50,0.67,27.37,20.00,136.00,4.00,6.84,1.96,1.00,562.50,4.54,0.01
518,2018-09-24,Chemistry,Site2,none (reference/control),Lake Water,3.64,180.00,2.15,220.00,0.38,0.62,0.39,0.00,0.17,0.00,1.44,352.00,0.00,70.00,0.72,27.37,30.00,200.00,7.00,7.19,2.81,4.00,583.50,5.25,0.01
519,2018-09-25,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,81.00,9.07,528.00,0.19,0.84,5.04,0.01,0.27,0.51,2.90,2100.00,11.00,24.80,1.36,27.50,66.00,236.00,4.00,5.50,3.28,7.00,179.80,4.54,0.01
520,2018-09-25,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.58,639.00,0.38,0.88,3.59,0.02,0.23,0.60,3.15,3937.00,0.00,37.10,1.01,161.00,80.00,375.00,3.00,4.09,2.49,2.00,300.90,4.54,0.01
521,2018-09-25,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,13.00,4.83,706.00,0.17,0.50,4.03,0.00,0.26,0.31,1.72,1583.00,1.00,22.95,0.81,22.80,62.00,321.50,2.50,4.73,1.65,2.00,170.85,4.54,0.01
522,2018-09-25,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,166.00,1.98,426.00,0.39,0.75,2.15,0.00,0.21,0.00,1.90,580.00,0.00,62.50,1.11,25.00,52.00,194.00,5.00,6.96,2.78,4.00,458.80,4.54,0.01
523,2018-09-25,Chemistry,Site4,fertilized,Lake Water,58.82,84.00,6.65,373.00,0.17,0.47,1.00,0.03,0.18,0.08,0.76,782.00,0.00,521.00,0.86,15.83,52.00,155.00,38.00,6.15,1.52,2.00,3882.00,0.50,0.00
524,2018-09-26,Chemistry,Site1,none (reference/control),Lake Water,3.46,169.00,1.46,255.00,0.39,0.76,2.23,0.00,0.23,0.00,1.90,591.00,0.00,61.90,1.10,27.37,52.00,190.00,5.00,6.95,2.79,4.00,489.50,4.54,0.01
525,2018-10-01,Chemistry,Site3,none (reference/control),Lake Water,5.53,118.00,3.50,263.00,0.33,0.74,0.46,0.00,0.15,0.02,1.25,575.00,0.00,71.20,0.67,27.37,1.00,480.00,5.00,6.80,1.94,4.00,677.50,4.54,0.01
526,2018-10-02,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,89.00,8.80,524.00,0.17,0.77,5.65,0.00,0.25,0.44,2.90,1770.00,7.00,0.00,1.42,26.40,3.00,247.00,1.00,5.67,3.03,5.00,420.10,4.54,0.01
527,2018-10-02,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.80,731.00,0.34,0.82,4.18,0.02,0.23,0.58,2.67,3550.00,3.00,15.00,1.01,44.20,14.00,341.00,4.00,4.16,2.32,1.00,250.00,4.54,0.01
528,2018-10-02,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,17.50,6.10,418.00,0.09,0.45,4.62,0.00,0.30,0.32,1.88,1477.00,6.50,5.95,0.91,20.75,5.00,312.00,3.50,4.85,1.55,1.00,141.65,4.54,0.01
529,2018-10-09,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,78.00,8.00,498.00,0.15,0.69,5.30,0.00,0.29,0.39,2.29,1657.00,6.00,14.80,1.35,23.60,38.00,241.00,2.00,5.67,2.67,4.00,182.30,4.54,0.01
530,2018-10-09,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.70,662.00,0.34,0.67,4.24,0.02,0.24,0.54,1.71,3255.00,3.00,25.30,0.96,39.40,48.00,326.00,2.00,4.20,1.92,2.00,211.30,4.54,0.01
531,2018-10-09,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,29.00,5.80,384.00,0.10,0.43,4.27,0.00,0.31,0.30,1.72,1352.00,1.00,0.00,0.88,19.20,37.00,304.00,1.00,4.96,1.45,2.00,118.30,4.54,0.01
532,2018-10-09,Chemistry,Site2,none (reference/control),Lake Water,2.82,138.00,1.50,210.00,0.38,0.62,0.41,0.00,0.17,0.00,1.44,421.00,0.00,52.40,0.74,27.37,32.00,211.00,4.00,7.07,2.82,3.00,561.50,4.54,0.01
533,2018-10-10,Chemistry,Site1,none (reference/control),Lake Water,3.16,170.00,3.40,252.00,0.39,0.76,2.32,0.00,0.23,0.00,1.92,586.00,8.00,58.60,1.12,27.37,39.00,218.00,4.00,6.72,2.81,5.00,420.90,3.25,0.01
534,2018-10-10,Chemistry,Site4,fertilized,Lake Water,20.82,106.00,8.70,607.00,0.22,0.51,1.35,0.05,0.19,0.22,0.81,806.00,63.00,261.70,0.89,15.83,170.00,250.00,29.00,6.10,1.78,5.00,1794.30,1.27,0.00
535,2018-10-16,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,79.00,8.60,409.00,0.14,0.65,5.58,0.00,0.29,0.40,2.20,1472.00,5.00,0.00,1.34,22.40,15.00,217.00,2.00,5.71,2.49,8.00,117.80,4.54,0.01
536,2018-10-16,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.00,621.00,0.34,0.63,4.80,0.01,0.22,0.53,1.32,3144.00,1.00,14.20,0.95,36.70,22.00,293.00,3.00,4.23,1.83,4.00,224.70,4.54,0.01
537,2018-10-16,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.00,6.20,339.00,0.10,0.40,4.56,0.00,0.33,0.27,1.68,1286.00,4.00,0.00,0.87,18.50,17.00,282.00,2.00,4.94,1.35,5.00,125.80,4.54,0.01
538,2018-10-16,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,163.50,3.90,246.50,0.39,0.75,2.21,0.00,0.24,0.00,1.87,587.50,13.00,43.85,1.10,25.15,14.00,224.50,5.50,6.65,2.77,9.50,467.35,4.54,0.01
539,2018-10-16,Chemistry,Site4,fertilized,Lake Water,22.31,153.00,8.90,1046.00,0.26,0.53,1.48,0.07,0.22,0.49,0.84,785.00,47.00,313.70,0.89,15.83,631.00,406.00,32.00,6.09,1.94,12.00,2601.20,1.27,0.00
540,2018-10-22,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,72.00,7.70,411.00,0.16,0.61,5.10,0.00,0.30,0.37,1.98,1472.00,2.00,0.00,1.26,21.10,30.00,204.00,4.26,5.68,2.32,7.00,117.80,4.54,0.01
541,2018-10-22,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.40,554.00,0.34,0.53,4.42,0.00,0.22,0.47,1.12,1449.00,0.00,21.00,0.89,33.70,43.00,272.00,4.26,4.25,1.51,4.00,221.10,4.54,0.01
542,2018-10-22,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,15.00,5.20,323.00,0.11,0.38,4.06,0.00,0.29,0.24,1.62,1237.00,0.00,0.00,0.85,17.90,32.00,236.00,4.26,4.29,1.27,4.00,115.20,4.54,0.01
543,2018-10-22,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,3.65,259.00,0.39,0.75,2.29,0.00,0.25,0.03,1.89,889.50,24.50,41.30,1.11,25.15,26.50,242.50,4.26,6.64,2.79,12.00,389.25,4.54,0.01
544,2018-10-22,Chemistry,Site2,none (reference/control),Lake Water,2.25,182.00,3.40,206.00,0.38,0.63,0.65,0.20,0.19,0.03,1.41,345.00,0.00,43.20,0.72,27.37,28.00,270.00,4.26,6.74,2.90,4.00,480.30,4.54,0.01
545,2018-10-29,Chemistry,Site3,none (reference/control),Lake Water,3.58,128.00,3.30,279.00,0.34,0.76,0.72,0.00,0.19,0.03,1.26,541.00,1.00,60.40,0.66,27.37,17.00,228.00,4.26,6.52,2.08,4.00,555.00,4.54,0.01
546,2018-10-30,Chemistry,Site1,none (reference/control),Lake Water,3.04,169.00,3.90,271.00,0.38,0.75,2.53,0.01,0.24,0.05,1.90,555.00,34.00,46.70,1.11,27.37,30.00,250.00,4.26,6.60,2.81,7.00,393.90,4.54,0.01
547,2018-10-30,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,75.00,8.30,437.00,0.20,0.65,5.57,0.00,0.36,0.40,2.20,1449.00,8.00,16.80,1.48,22.60,43.00,224.00,4.26,5.84,2.58,6.00,257.60,4.54,0.01
548,2018-10-30,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.40,539.00,0.34,0.49,4.58,0.00,0.23,0.47,0.97,2613.00,0.00,24.90,0.92,32.40,54.00,281.00,4.26,4.26,1.47,3.00,332.80,4.54,0.01
549,2018-10-30,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.00,5.50,385.00,0.13,0.38,4.44,0.00,0.34,0.28,1.59,1229.00,7.00,0.00,0.92,18.00,42.00,274.00,4.26,5.00,1.31,5.00,131.40,4.54,0.01
550,2018-10-30,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,164.00,4.30,289.00,0.42,0.75,2.37,0.00,0.24,0.04,1.90,574.00,33.00,36.10,1.14,25.60,38.00,262.00,4.26,6.60,2.85,7.00,432.10,4.54,0.01
551,2019-05-06,Chemistry,Site1,none (reference/control),Lake Water,0.98,160.60,1.30,284.91,0.41,0.81,2.57,0.00,0.24,0.03,2.04,554.00,68.40,32.00,1.02,27.37,2.85,281.00,4.00,6.47,2.72,0.60,308.00,4.13,0.01
552,2019-05-06,Chemistry,Site3,none (reference/control),Lake Water,1.49,123.00,1.30,297.75,0.33,0.78,0.94,0.04,0.18,0.03,1.37,514.00,59.50,41.00,0.58,27.37,5.25,278.00,5.00,6.35,1.88,1.00,382.00,4.54,0.01
553,2019-05-07,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,105.60,5.00,422.03,0.41,0.66,4.51,0.00,0.24,0.26,1.71,1176.00,29.90,22.00,1.19,28.10,10.24,226.00,2.00,5.99,2.19,1.80,174.00,4.54,0.01
554,2019-05-07,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.20,500.10,0.53,0.26,4.26,0.00,0.14,0.29,0.68,2130.00,2.00,37.00,0.65,16.10,13.46,259.00,4.00,4.27,0.78,3.50,451.00,4.54,0.01
555,2019-05-07,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.60,4.30,361.70,0.23,0.37,3.43,0.00,0.18,0.22,1.73,974.00,39.50,15.00,0.65,21.50,17.42,248.00,3.00,5.20,1.05,2.10,181.00,4.54,0.01
556,2019-05-07,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,158.60,2.20,276.90,0.37,0.78,2.57,0.00,0.24,0.03,2.02,571.00,63.80,35.00,0.99,25.50,10.66,280.00,4.00,6.49,2.58,1.30,293.00,4.54,0.01
557,2019-05-07,Chemistry,Site2,none (reference/control),Lake Water,1.51,171.80,1.10,220.23,0.36,0.65,0.89,0.11,0.19,0.00,1.58,310.00,53.20,40.00,0.65,27.37,12.52,291.00,6.00,6.64,2.74,2.50,353.00,5.50,0.01
558,2019-05-08,Chemistry,Site4,fertilized,Lake Water,6.04,87.80,6.90,386.97,0.22,0.52,1.54,0.00,0.23,0.12,0.92,719.00,69.30,194.00,0.76,15.83,16.32,106.00,21.00,6.67,1.63,2.60,1642.00,1.75,0.00
559,2019-05-14,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,95.00,6.60,577.00,0.44,0.64,4.67,0.00,0.24,0.27,1.82,1220.00,23.60,14.00,1.37,23.50,27.78,248.00,3.00,4.34,2.37,2.90,150.00,4.54,0.01
560,2019-05-14,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.10,692.98,0.50,0.27,4.58,0.00,0.15,0.40,0.73,2129.00,0.50,55.00,0.73,26.00,40.55,278.00,7.00,5.10,0.74,4.80,450.00,4.54,0.01
561,2019-05-14,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,25.60,5.60,510.22,0.20,0.34,3.62,0.00,0.22,0.26,1.79,1021.00,55.30,35.00,0.78,16.50,29.83,295.00,4.00,6.61,1.07,2.80,204.00,4.54,0.01
562,2019-05-14,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,156.90,2.30,375.50,0.36,0.69,2.52,0.00,0.29,0.03,2.05,554.50,51.75,43.50,1.03,24.75,25.79,240.50,4.00,6.67,2.52,2.65,353.50,4.54,0.01
563,2019-05-21,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,140.60,8.70,449.84,0.43,0.67,4.69,0.00,0.18,0.20,1.95,1240.00,7.60,23.00,1.55,27.37,20.57,212.00,2.00,6.27,2.51,2.70,155.00,4.54,0.01
564,2019-05-21,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,13.10,577.40,0.47,0.30,5.04,0.00,0.15,0.45,0.71,2156.00,0.00,47.00,0.79,26.50,61.25,265.00,6.00,4.37,0.83,6.00,450.00,4.54,0.01
565,2019-05-21,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,26.60,6.20,383.26,0.15,0.35,3.68,0.00,0.20,0.25,1.95,1091.00,35.20,29.00,0.82,17.00,21.71,278.00,3.00,5.08,1.11,2.70,193.00,4.54,0.01
566,2019-05-21,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,161.40,3.95,256.91,0.39,0.69,2.51,0.00,0.25,0.03,2.14,563.00,30.25,47.50,1.06,25.25,13.87,196.50,4.50,6.94,2.52,1.90,430.00,4.54,0.01
567,2019-05-21,Chemistry,Site4,fertilized,Lake Water,4.10,80.60,7.70,323.27,0.16,0.40,1.04,0.00,0.23,0.05,1.02,679.00,0.10,120.00,0.81,15.83,16.19,93.00,17.00,6.67,1.37,1.40,892.00,2.00,0.00
568,2019-05-22,Chemistry,Site1,none (reference/control),Lake Water,3.07,162.00,4.20,250.58,0.37,0.68,2.52,0.00,0.24,0.00,2.14,572.00,24.50,59.00,1.03,27.37,3.36,193.00,4.00,7.01,2.52,1.30,510.00,2.75,0.01
569,2019-05-22,Chemistry,Site2,none (reference/control),Lake Water,2.35,176.20,3.70,194.12,0.33,0.55,0.80,0.04,0.23,0.00,1.56,332.00,0.00,62.00,0.69,27.37,6.73,209.00,6.00,7.21,2.54,1.40,480.00,3.00,0.01
570,2019-05-27,Chemistry,Site3,none (reference/control),Lake Water,2.06,123.60,2.40,234.70,0.34,0.69,0.84,0.00,0.21,0.02,1.45,525.00,0.59,60.00,0.64,27.37,6.27,141.00,4.00,5.40,1.78,0.60,556.00,4.54,0.01
571,2019-05-28,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,120.00,6.60,438.10,0.34,0.62,4.43,0.03,0.18,0.31,1.54,1411.00,9.13,12.00,1.42,23.00,3.56,229.00,2.00,6.02,2.34,1.70,208.00,4.54,0.01
572,2019-05-28,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.60,503.40,0.43,0.30,4.13,0.02,0.14,0.43,0.56,2339.00,1.10,47.00,0.78,28.00,38.72,252.00,6.00,4.34,0.81,5.60,496.00,4.54,0.01
573,2019-05-28,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,18.60,3.70,332.60,0.09,0.34,3.46,0.00,0.16,0.24,1.76,1172.00,10.69,16.00,0.77,17.00,15.83,237.00,3.00,5.02,1.13,1.80,263.00,4.54,0.01
574,2019-05-28,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,159.60,2.10,246.15,0.38,0.67,2.46,0.00,0.26,0.00,2.09,566.50,21.38,60.50,1.05,24.25,13.31,170.00,4.50,7.11,2.45,1.25,624.50,4.54,0.01
575,2019-06-03,Chemistry,Site2,none (reference/control),Lake Water,1.12,171.40,2.40,212.10,0.37,0.55,0.75,0.00,0.19,0.00,1.43,311.00,2.05,43.00,0.69,27.37,12.20,200.00,3.00,7.25,2.55,0.90,415.00,5.00,0.01
576,2019-06-04,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,162.80,8.00,489.50,0.43,0.74,4.51,0.00,0.14,0.31,1.58,1373.00,5.00,17.00,1.62,26.50,13.87,293.00,2.00,6.25,2.76,2.20,227.00,4.54,0.01
577,2019-06-04,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,48.90,669.30,0.46,0.32,4.68,0.00,0.16,0.44,0.52,2367.00,1.77,106.00,0.88,28.00,72.00,275.00,7.00,4.35,0.88,7.00,1745.00,4.54,0.01
578,2019-06-04,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,28.60,4.80,388.20,0.09,0.34,3.37,0.00,0.15,0.26,1.68,1224.00,17.50,17.00,0.81,17.50,15.19,346.00,1.00,5.07,1.14,2.30,236.00,4.54,0.01
579,2019-06-04,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,158.80,2.40,274.00,0.45,0.65,2.25,0.00,0.25,0.00,2.05,586.50,4.71,69.00,1.06,25.25,12.49,173.50,4.50,7.18,2.38,1.15,772.00,4.54,0.01
580,2019-06-04,Chemistry,Site4,fertilized,Lake Water,5.28,78.40,9.00,318.40,0.16,0.40,0.74,0.00,0.24,0.03,1.17,672.00,1.12,122.00,0.82,15.83,13.14,116.00,20.00,6.44,1.34,1.40,817.00,2.25,0.00
581,2019-06-05,Chemistry,Site1,none (reference/control),Lake Water,3.95,162.00,2.90,255.55,0.36,0.64,2.36,0.00,0.23,0.00,1.98,578.00,5.07,64.00,1.04,27.37,21.24,170.50,3.50,7.17,2.36,1.50,542.00,4.54,0.01
582,2019-06-10,Chemistry,Site3,none (reference/control),Lake Water,2.07,121.20,3.25,271.10,0.31,0.64,0.78,0.00,0.19,0.00,1.37,531.00,4.16,50.50,0.63,27.37,22.18,136.00,4.50,7.08,1.66,0.70,433.50,4.54,0.01
583,2019-06-11,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,108.80,8.50,396.60,0.27,0.60,4.56,0.00,0.10,0.39,1.08,1733.00,4.20,24.00,1.23,27.37,22.09,263.00,2.00,5.86,2.36,2.40,241.00,4.54,0.01
584,2019-06-11,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.20,342.70,0.38,0.31,3.70,0.01,0.13,0.39,0.31,2440.00,0.51,26.00,0.81,27.37,25.69,284.00,3.00,4.30,0.86,3.80,341.00,4.54,0.01
585,2019-06-11,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,15.60,4.90,334.40,0.06,0.37,3.47,0.00,0.09,0.26,1.34,1469.00,2.18,17.00,0.73,27.37,25.29,252.00,2.00,4.92,1.22,2.10,173.00,4.54,0.01
586,2019-06-11,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,170.10,2.90,239.40,0.50,0.32,2.35,0.53,0.26,0.19,1.99,586.00,3.30,55.00,1.70,27.37,20.50,166.00,3.50,7.17,2.33,1.20,588.50,4.54,0.01
587,2019-06-17,Chemistry,Site2,none (reference/control),Lake Water,1.05,174.00,3.10,174.13,0.34,0.58,0.63,0.00,0.20,0.00,1.65,332.50,3.10,37.50,0.66,27.37,9.20,202.00,2.00,7.37,2.70,0.85,359.50,4.54,0.01
588,2019-06-18,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,178.40,10.40,487.60,0.35,0.89,5.10,0.00,0.15,0.44,0.12,1630.00,7.99,14.00,1.48,27.00,13.54,306.00,1.00,6.30,3.43,2.70,147.00,4.54,0.01
589,2019-06-18,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.40,502.82,0.33,0.34,4.29,0.00,0.13,0.41,0.26,2521.00,7.47,17.00,0.83,27.50,35.20,282.00,1.00,4.33,1.02,6.20,249.00,4.54,0.01
590,2019-06-18,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.00,5.70,362.93,0.03,0.37,3.55,0.00,0.10,0.27,1.38,1365.00,12.40,0.00,0.73,11.50,27.81,353.00,1.00,4.70,1.30,2.60,130.00,4.54,0.01
591,2019-06-18,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,159.10,3.10,241.59,0.35,33.84,2.29,0.00,0.24,0.00,2.05,598.50,2.44,50.00,0.99,23.75,25.83,167.50,3.00,7.20,2.50,1.45,475.50,4.54,0.01
592,2019-06-18,Chemistry,Site4,fertilized,Lake Water,15.20,79.20,9.60,386.44,0.17,0.40,0.51,0.00,0.22,0.02,1.12,702.00,1.80,238.00,0.78,15.83,27.31,63.00,19.00,7.12,1.40,1.30,1471.00,1.25,0.00
593,2019-06-19,Chemistry,Site1,none (reference/control),Lake Water,1.82,163.00,3.10,239.83,0.35,0.67,2.38,0.00,0.26,0.00,2.05,615.00,2.37,56.00,0.95,27.37,9.40,166.00,3.00,7.17,2.52,1.00,467.00,4.54,0.01
